x,y,c,w,h,r,alpha,type
NaN,NaN,-16580608,NaN,NaN,NaN,NaN,0
NaN,NaN,-16776448,NaN,NaN,NaN,NaN,0
NaN,NaN,-15988478,NaN,NaN,NaN,NaN,1
60.83401,104.18652,-11496697,18.782082,18.120838,5.876903,245.72014,0
37.8785,89.53296,-15388331,20.0,20.0,0.83265543,232.2756,1
27.062346,76.69771,-12551399,15.877585,20.0,3.9124057,208.02777,0
136.48972,48.747166,-3451093,16.57814,17.123138,4.2049766,176.5784,0
136.74397,46.99813,-8167275,20.0,14.4005165,6.2831855,176.18304,0
29.88668,58.01154,-13146205,19.314869,20.0,2.6754885,234.14159,0
184.62889,81.92625,-16776654,20.0,20.0,3.278823,164.51367,0
57.619785,0.0,-13982381,20.0,18.154907,0.0,195.7836,0
42.322414,96.92855,-14471061,16.321106,12.983794,1.0079606,251.7845,0
209.88535,53.569946,-16702864,20.0,20.0,4.39175,144.37285,1
10.906735,22.824131,-7108939,20.0,17.997232,5.6719365,237.87315,0
95.78765,101.13178,-16777183,20.0,20.0,2.7786276,255.0,0
30.188074,83.43033,-8059543,17.278341,13.036865,1.780194,158.72986,0
45.02526,73.53657,-14732783,17.257565,20.0,1.26599,188.58635,1
32.872013,30.16784,-16767440,20.0,19.068121,3.1266072,134.52776,0
75.449936,47.61557,-5100617,5.254166,15.933733,6.2831855,203.08879,0
117.17826,27.980446,-11057306,15.9857855,13.6801195,0.0,113.16289,0
197.0895,75.17299,-15120319,19.129623,11.17372,3.2421672,204.83636,1
187.30602,26.7008,-11921297,14.991563,20.0,0.2425893,228.34818,0
50.457382,38.22589,-12011941,8.158831,18.405838,3.776936,147.69383,1
21.860935,51.833447,-15848912,20.0,20.0,2.0144234,181.52097,0
55.881466,113.916885,-11188216,19.243484,20.0,5.1123905,132.38501,1
191.35326,106.62217,-14745481,20.0,20.0,3.0949566,242.3998,1
112.0369,6.655879,-14671840,20.0,19.555279,6.068535,247.0982,0
26.04319,6.615535,-15229981,16.578848,20.0,2.487956,174.7707,0
190.16287,7.988924,-14870699,20.0,20.0,2.5927017,167.2848,0
121.87908,41.60132,-12312815,20.0,20.0,0.4251541,147.6908,1
87.529526,105.190155,-16383995,20.0,20.0,2.0208335,209.46341,0
199.1968,0.0,-10726533,20.0,11.899263,1.721756,186.08485,0
173.33325,21.350187,-13047803,10.654266,8.026639,0.39740264,57.251526,1
116.562126,63.131626,-14940672,19.010216,19.83305,1.5765425,161.9613,0
215.58958,69.70197,-8517201,16.624887,18.199106,0.94719493,175.63098,0
110.35087,33.917084,-16756437,20.0,18.38181,4.524371,193.91833,0
6.694384,89.116974,-12068571,12.375131,16.011742,0.49123478,127.879295,1
216.0,8.010261,-16765162,17.990286,17.5318,1.2145343,160.45744,0
88.68898,116.0,-11271565,18.724966,20.0,2.8355916,174.84015,1
103.21554,105.55222,-16515072,20.0,19.218832,2.0570424,214.9173,0
175.22556,77.15396,-11510029,20.0,17.644499,0.7096632,160.74925,0
125.34418,55.26782,-5093873,20.0,20.0,0.9186653,221.357,0
189.76598,49.874474,-8076288,10.604406,19.960257,3.734292,140.27467,1
6.9835167,68.5071,-10944424,20.0,18.23854,0.0,223.46144,1
16.187126,5.8731914,-14604005,20.0,20.0,5.7514806,155.13106,1
29.504333,53.464043,-13687233,20.0,13.928877,1.945869,163.77576,0
36.280823,110.074165,-7108096,20.0,18.587654,1.6755232,163.10764,0
41.760315,54.054905,-16425677,19.084908,14.890136,1.4451671,218.6665,1
54.348278,42.037605,-5008044,15.233714,13.817162,0.0,235.50461,1
86.36396,26.6264,-14982541,20.0,20.0,3.31952,239.0571,1
80.81319,50.173862,-7435692,20.0,20.0,2.928353,208.5382,0
0.0,55.595448,-15996859,20.0,20.0,4.1926947,131.45839,0
71.091324,22.132149,-15253638,20.0,20.0,3.1128473,222.0038,1
97.4938,36.694042,-14150382,20.0,19.29182,4.96133,194.19258,0
44.960594,0.7633583,-10747340,19.739567,13.248915,6.2831855,114.407555,0
0.0,98.04066,-15924176,18.43545,20.0,6.2831855,176.43034,0
166.09477,23.017403,-13033358,18.541166,20.0,5.4447374,164.46623,0
118.26552,9.580177,-12369560,20.0,20.0,1.9315522,230.64711,1
55.610264,18.967253,-10153808,20.0,15.832898,2.6157978,200.68976,0
216.0,14.17009,-15317906,18.600632,16.144583,3.1524098,207.27809,0
165.95248,57.479656,-12887201,20.0,19.39038,5.1129913,225.07875,0
165.43196,45.090065,-11494315,18.140228,10.8172455,0.5045499,127.320366,1
119.59044,72.735435,-5692359,18.217573,20.0,0.5636346,100.83905,0
177.01233,34.166916,-5545875,20.0,19.698835,0.84776056,215.81215,1
72.74179,59.82624,-10862568,15.908986,20.0,4.811719,165.26596,1
197.31842,98.41403,-13289609,20.0,20.0,3.203187,197.30792,0
159.29181,28.544266,-7508413,7.437814,20.0,6.0649104,183.1313,1
78.72082,79.8593,-13548976,20.0,20.0,5.504462,254.49135,1
95.487976,31.15151,-6327487,20.0,19.837376,1.3822001,249.15718,0
124.89835,83.89019,-14541562,20.0,18.239351,3.5458605,107.7861,0
200.21191,42.68937,-16775540,16.912937,17.065184,4.8501616,165.40952,0
196.83336,61.180256,-12492653,20.0,19.144342,3.4600754,175.89253,0
130.86235,26.46925,-12252394,15.694147,16.574568,3.2294478,136.73045,1
199.03339,98.91327,-15044009,20.0,18.40453,4.581759,184.47026,0
15.346341,62.556908,-14480580,15.937483,20.0,2.4513338,153.1896,0
78.919556,13.883469,-16317866,20.0,20.0,3.1399937,149.78645,0
216.0,101.385216,-4584058,16.687645,20.0,1.5515096,221.80269,0
76.158844,33.202587,-11400138,20.0,20.0,4.767181,97.65418,0
4.736826,19.512814,-14996111,20.0,20.0,6.0158668,182.08809,1
