x,y,c,w,h,r,alpha,type
127.77353,66.96472,-11129961,19.908909,19.814388,1.8683808,231.50179,0
73.49055,9.932193,-11350225,12.749726,9.705215,6.2831855,91.7681,0
65.039986,86.77767,-3328489,20.0,12.500214,6.2831855,251.88261,1
66.37272,92.95976,-14894482,19.528242,16.906076,0.910465,205.65959,0
69.4024,26.368652,-7919924,2.2540052,20.0,2.7994394,234.62541,0
105.29757,86.12784,-12023720,15.76305,18.409983,3.858356,111.34058,0
29.437126,133.00948,-15186925,20.0,16.356544,0.62876034,249.77681,0
43.581047,131.67268,-15121533,20.0,20.0,5.211755,250.82327,1
92.66573,28.061712,-2480252,20.0,16.307833,2.4886172,61.784863,0
133.16655,123.205315,-8335855,17.437805,18.378223,1.3183352,209.31448,0
84.27247,95.95522,-16654015,6.082842,16.605907,4.658766,240.73305,0
84.80266,38.08096,-12171971,20.0,20.0,4.0308824,145.40025,0
106.89296,13.852482,-16739854,12.14639,18.766724,2.9740984,10.751531,0
64.46906,96.4713,-16711671,19.786692,20.0,0.54403853,169.98581,0
51.324482,136.29166,-11697867,20.0,8.435038,3.4312394,118.66454,0
63.457012,8.541447,-12410815,16.801016,16.997272,1.0782735,232.80229,0
91.74747,105.03876,-3184805,20.0,10.769009,2.1363082,100.67471,1
88.46914,76.53236,-4829783,17.163486,13.540004,1.4283249,185.74707,0
121.815956,120.98894,-9150631,18.799812,16.675486,0.5788998,233.00543,1
58.03198,75.872055,-13487981,20.0,16.31148,0.0,161.51237,0
94.451004,133.16447,-12814690,13.856498,20.0,1.508512,214.91553,1
23.607769,101.8505,-6619093,20.0,20.0,0.0,250.06895,0
131.28412,124.2105,-16429762,19.969055,18.707685,4.16671,156.16513,0
93.10088,67.662865,-5229504,3.936608,9.427115,3.4036613,183.38248,1
33.78527,95.45512,-10138840,20.0,15.228216,5.2074475,225.32352,0
142.80003,124.18732,-15654032,20.0,20.0,3.6285903,141.36806,0
67.43384,134.233,-15593302,15.5902815,8.587858,4.0978527,250.55365,0
13.614506,150.0,-13743025,15.557616,20.0,1.6009668,136.35568,1
24.028864,82.93943,-13493466,20.0,20.0,6.159504,200.81004,0
127.20817,101.95627,-4584396,17.89338,13.275087,2.5939782,170.61125,0
49.126762,55.65868,-14561532,11.890594,18.065578,3.3016768,162.21431,0
100.7283,112.882355,-10278028,20.0,16.594946,2.7314863,248.88618,1
52.76689,75.688866,-11526635,20.0,20.0,1.39659,255.0,1
70.52709,118.410576,-7305900,18.087528,18.098946,0.09115458,127.58217,0
39.62892,54.082413,-10709135,6.457154,20.0,0.14124154,189.29767,1
41.875984,131.4937,-16640893,17.004692,20.0,0.56695175,207.39407,0
99.520905,119.105484,-11478526,14.387354,20.0,0.11706032,227.44345,0
32.592834,116.161125,-15882752,20.0,13.115396,3.4119055,88.628365,0
30.299599,27.451569,-11652734,7.794577,16.116873,0.044027723,140.10309,1
105.342384,88.79429,-13335026,20.0,10.181547,1.0877298,198.9869,1
46.215126,17.321186,-13483901,17.40016,20.0,0.34199968,237.63374,0
150.0,118.55881,-9499015,18.532137,20.0,1.1559951,161.54427,0
84.849594,112.48976,-13487698,18.259108,20.0,1.0662395,149.99481,0
64.52658,74.74006,-16344746,6.6389093,5.1698084,1.6518478,124.46388,1
96.42752,46.00578,-9536840,10.224274,20.0,1.7395059,125.49115,0
62.481472,69.667755,-8899166,15.655031,14.057985,3.5619335,215.53151,0
119.87299,126.19714,-11462829,18.029093,19.440237,2.1770926,188.65636,0
141.74641,17.920172,-10846036,11.676832,20.0,4.635564,50.25518,1
114.21552,108.29869,-9026698,20.0,20.0,0.6895923,179.24634,1
138.34525,93.774605,-11682971,11.090143,20.0,6.2831855,154.58516,1
126.30612,97.511345,-5739053,16.74451,16.148947,3.308936,253.16682,0
137.42224,114.87836,-9496057,20.0,16.90055,3.1507845,102.80255,0
12.994884,90.77396,-11116436,20.0,18.834358,0.0,108.66621,1
129.50671,143.99275,-12515265,17.818018,20.0,4.116381,194.79736,0
123.76697,105.12003,-12382707,19.409136,17.160099,2.0906236,165.665,0
